Data,Sec1,Main
1981-10-01,166.4,178.8
1981-11-01,191.3,193.1
1981-12-01,272.90000000000003,247.1
1982-02-01,164.89999999999995,188.9
1982-03-01,57.2,43.4
1982-04-01,31.0,57.8
1982-05-01,133.4,121.0
1982-06-01,298.99999999999994,261.2
1982-07-01,255.6,229.4
1982-08-01,142.1,156.0
1982-09-01,46.40000000000001,21.2
1982-10-01,296.6,249.0
1982-11-01,430.3,343.4
1982-12-01,93.6,104.8
1983-01-01,156.79999999999995,165.0
1983-02-01,209.2,244.6
1983-03-01,231.0,173.60000000000005
1983-04-01,224.8,158.6
1983-05-01,440.6,429.8
1983-06-01,155.79999999999995,134.8
1983-07-01,795.6,782.1999999999998
1983-11-01,211.6,187.3
1983-12-01,200.8,244.90000000000003
1984-01-01,164.20000000000005,74.0
1984-02-01,68.80000000000001,103.4
1984-03-01,275.20000000000005,205.8
1984-04-01,141.4,91.2
1984-05-01,96.0,127.8
1984-06-01,264.6,247.2
1984-07-01,92.20000000000002,65.80000000000001
1984-08-01,352.2000000000001,361.8
1984-09-01,147.4,138.20000000000002
1984-10-01,51.0,54.2
1984-11-01,310.19999999999993,203.8
1984-12-01,167.39999999999995,142.6
1985-01-01,48.7,31.4
1985-02-01,230.69999999999996,250.4
1985-03-01,101.4,65.4
1985-04-01,210.79999999999995,214.40000000000003
1985-05-01,29.4,38.6
1985-06-01,27.8,29.4
1985-07-01,61.40000000000001,63.6
1985-08-01,39.8,27.6
1985-09-01,57.4,82.8
1985-10-01,113.6,123.4
1985-11-01,87.2,84.50000000000001
1985-12-01,123.4,47.1
1986-01-01,141.0,174.09999999999997
1986-02-01,235.6,225.8
1986-03-01,82.6,78.3
1986-04-01,151.5,135.3
1986-05-01,225.8,210.6
1986-06-01,26.0,30.2
1986-07-01,39.8,41.0
1986-08-01,115.6,134.8
1986-09-01,175.2,141.0
1986-10-01,121.0,133.0
1986-11-01,145.60000000000005,154.4
1986-12-01,150.20000000000005,102.4
1987-01-01,143.20000000000005,149.0
1987-02-01,225.00000000000003,200.5
1987-03-01,41.0,32.4
1987-04-01,132.4,192.4
1987-05-01,357.2000000000001,395.6
1987-06-01,210.8,354.0
1987-07-01,105.2,130.6
1987-08-01,52.00000000000001,88.2
1987-09-01,84.8,96.59999999999998
1987-10-01,177.39999999999995,209.4
1987-12-01,131.4,91.4
1988-01-01,114.0,120.0
1988-02-01,159.39999999999995,115.6
1988-03-01,105.2,81.8
1988-04-01,137.29999999999998,145.79999999999995
1988-05-01,380.4,329.49999999999994
1988-06-01,114.7,151.20000000000005
1988-07-01,3.0,3.5
1988-08-01,20.0,24.700000000000006
1988-09-01,70.4,45.7
1988-10-01,268.6,209.00000000000003
1988-11-01,52.0,37.7
1988-12-01,284.8,249.7
1989-01-01,296.2000000000001,359.7
1989-02-01,149.59999999999997,171.1
1989-03-01,164.8,111.1
1989-04-01,121.6,121.1
1989-05-01,145.79999999999995,95.8
1989-06-01,76.2,78.1
1989-07-01,232.8,257.40000000000003
1989-08-01,109.4,110.6
1989-09-01,319.0,240.1
1989-10-01,195.8,151.3
1989-11-01,100.0,62.9
1989-12-01,163.4,80.8
1990-01-01,236.6,256.2
1990-02-01,123.6,62.0
1990-03-01,200.2,201.6
1990-04-01,241.6,231.4
1990-05-01,189.4,156.2
1990-06-01,254.0,206.6
1990-07-01,220.6,206.4
1990-08-01,193.4,232.0
1990-09-01,232.4,201.3
1990-10-01,195.2,235.4
1990-11-01,206.0,217.4
1990-12-01,153.79999999999995,205.2
1991-01-01,114.4,174.6
1991-02-01,50.70000000000001,38.7
1991-03-01,149.2,154.10000000000005
1991-04-01,174.4,223.2
1991-05-01,21.200000000000006,40.0
1991-06-01,270.0,219.4
1991-07-01,43.6,53.2
1991-08-01,52.8,83.30000000000003
1991-09-01,54.99999999999999,44.3
1991-10-01,162.2,171.00000000000003
1991-11-01,185.8,77.89999999999998
1991-12-01,264.0,292.5
1992-01-01,124.8,107.0
1992-02-01,148.6,193.8
1992-03-01,92.4,170.29999999999995
1992-04-01,102.4,69.7
1992-05-01,634.0,554.8000000000002
1992-06-01,228.6,202.2
1992-07-01,140.5,117.3
1992-08-01,159.2,146.2
1992-09-01,158.6,117.7
1992-10-01,149.2,98.4
1992-11-01,185.7,186.4
1992-12-01,106.6,176.0
1993-01-01,226.9,167.7
1993-02-01,130.2,83.1
1993-03-01,181.0,118.9
1993-04-01,143.4,106.8
1993-05-01,291.7,252.2
1993-06-01,86.4,46.00000000000001
1993-07-01,141.9,143.7
1993-08-01,14.7,6.9
1993-09-01,380.0,308.8
1993-10-01,219.7,134.7
1993-11-01,118.3,173.5
1993-12-01,179.6,219.00000000000009
1994-01-01,130.1,110.0
1994-02-01,267.1,160.60000000000005
1994-03-01,75.10000000000002,48.3
1994-04-01,133.3,113.8
1994-05-01,238.5,241.8
1994-06-01,163.0,142.5
1994-07-01,221.9,195.4
1994-08-01,5.4,3.0
1994-09-01,122.6,89.10000000000002
1994-10-01,174.5,149.4
1994-11-01,222.70000000000005,136.89999999999998
1994-12-01,221.40000000000003,185.2
1995-01-01,341.4000000000001,287.0
1995-02-01,150.39999999999995,138.8
1995-03-01,96.29999999999998,99.5
1995-04-01,107.8,74.0
1995-05-01,18.200000000000006,12.9
1995-06-01,210.00000000000003,139.70000000000002
1995-07-01,136.29999999999998,115.9
1995-08-01,30.0,43.40000000000001
1995-09-01,302.6,260.8
1995-10-01,203.4,163.3
1995-11-01,82.69999999999997,23.8
1995-12-01,145.6,120.9
1996-01-01,267.4,196.90000000000003
1996-02-01,135.30000000000004,225.4
1996-03-01,296.8,225.3
1996-04-01,32.1,21.400000000000006
1996-05-01,26.2,15.3
1996-06-01,241.5,228.2
1996-07-01,196.30000000000004,173.0
1996-08-01,121.8,117.0
1996-09-01,227.4,187.8
